Full Name,Email,Age,Zip,Phone,Gender,Password,Street,Major
Marjorie Dickinson,mdi4539@lionstate.edu,19,32925,5761414752,F,cjiicgr5,963 Court Road,CMPEN
Keon Fadel,kfa9089@lionstate.edu,21,94601,1983885794,M,m0bdut14,7764 Union Avenue,CMPEN
Penelope Ziemann,pzi2408@lionstate.edu,22,85354,4903891156,F,7j7rei4g,185 E. Trenton Street,STAT
Maximilian Ruecker,mru3359@lionstate.edu,21,34609,3736806826,M,2mjlwhvc,308 Mammoth Dr.,CSE
Samanta Collier,sco1712@lionstate.edu,18,30523,7993688907,M,p8ieksdz,7297 Applegate St.,CSE
Tyree Pacocha,tpa5190@lionstate.edu,22,34210,1938713024,M,od1asurx,7529 Old Sunset Road,CHEM
Ima Hilll,ihi8422@lionstate.edu,22,80652,8096229224,F,d5mus3og,9498 Newport Ave.,CHEM
Miss Ellsworth Goyette,mel3938@lionstate.edu,20,52776,5401056300,M,61ip5i1a,266 Second Street,IST
Pasquale Ritchie,pri2221@lionstate.edu,21,52571,6892755465,M,09vhc6ga,232 W. Homewood Ave.,IST
Nicolas Kunde,nku3451@lionstate.edu,19,96132,7725602202,F,1vpw660p,83 Corona Street,CMPSC
Jaunita Zemlak,jze6681@lionstate.edu,22,20390,7301972665,M,9z5xs7i4,6 Andover Dr.,CHEM
Jaunita Paucek,jpa6316@lionstate.edu,18,91106,6928175093,F,6f4h1qhw,7297 Applegate St.,CMPSC
Luisa Keebler,lke7167@lionstate.edu,21,94947,4026102639,F,i15k2z5c,251 West Sheffield Drive,STAT
Karli Streich DDS,kst7090@lionstate.edu,20,30339,7219545979,M,a31lbs06,9236 El Dorado St.,EE
Miss Stanton Hyatt,mst7516@lionstate.edu,20,32164,3254434862,F,xbodkb1p,63 Lake Forest Road,PHYS
Isobel Hudson,ihu2594@lionstate.edu,20,81240,4118791845,F,c6m8qq2y,9408 Anderson Court,CMPSC
Shaun Marvin,sma8389@lionstate.edu,20,72852,8248844006,F,cyr5laao,8985 Cambridge Ave.,STAT
Justina Schuster,jsc7283@lionstate.edu,19,95337,5764153872,M,juqc63zz,285 Dogwood Drive,DS
Manuela Blick,mbl5527@lionstate.edu,18,50231,3971228539,F,iqt9wnaq,963 Court Road,STAT
Reina McLaughlin Jr.,rmc1213@lionstate.edu,18,86042,2222860116,F,zibhv380,7313 Stillwater Lane,DS
Miss Gennaro Torphy,mge3655@lionstate.edu,18,46347,8236514298,F,hhoz4znw,863 Stillwater Road,EE
Kaleb Carter MD,kca7584@lionstate.edu,20,80816,1302957415,M,o19o3kra,639 Princeton Rd.,CMPEN
Reva Hirthe,rhi3330@lionstate.edu,18,47469,1933349133,F,cz4rv678,141 Gulf Rd.,CSE
Jennie Haag,jha3634@lionstate.edu,19,85251,8728869936,M,e3gvatua,185 E. Trenton Street,IST
Mikayla Senger,mse3018@lionstate.edu,21,94107,9998992020,F,t97xa8jr,7313 Stillwater Lane,EE
Janis Leffler,jle7688@lionstate.edu,20,91203,1936566044,M,hza255xn,182 Spring Street,MATH
Maverick Rempel,mre6097@lionstate.edu,22,52737,1968355972,F,u50mz2ki,7195 North Canterbury Circle,MATH
Myrtice Armstrong,mar7316@lionstate.edu,20,46324,1823054503,F,ql6wokcz,7313 Stillwater Lane,ECON
Roy Boehm,rbo4096@lionstate.edu,22,62358,3442466276,F,6ch26zsv,91 S. Gartner Street,CMPEN
Jackie Considine,jco8261@lionstate.edu,19,50851,7377371515,F,zrziiod8,91 S. Gartner Street,CMPSC
Kristofer Gusikowski,kgu3649@lionstate.edu,21,92008,7353272986,M,c6zw7xeq,9408 Anderson Court,DS
Letitia Graham,lgr2017@lionstate.edu,19,61274,6673176141,F,td7qer7k,3 North Linden Ave.,STAT
Skye Graham,sgr6837@lionstate.edu,22,95425,8296562358,F,885lnlgn,266 Second Street,CMPEN
Thora Predovic Sr.,tpr4269@lionstate.edu,19,47434,1404427899,F,3w4nls9b,285 Dogwood Drive,CMPSC
Suzanne Botsford,sbo2144@lionstate.edu,19,85192,9329543320,F,9yzoqecx,3 North Linden Ave.,CMPEN
Mr. Hallie Crooks,mha5312@lionstate.edu,18,30755,9015584978,M,ldrwndyy,78 South Brewery Ave.,ECON
Vilma Sauer,vsa8991@lionstate.edu,22,30113,1886491365,M,zagzjbh5,120 Heritage Lane,PHYS
Mrs. Marlee Ward,mma8341@lionstate.edu,21,6066,9987860142,M,5zsqvzsa,7195 North Canterbury Circle,CMPSC
Theresa Glover,tgl2369@lionstate.edu,21,80615,9212714963,M,mujxipgm,708 York Dr.,STAT
Meredith Kuhlman DVM,mku3151@lionstate.edu,22,62888,9837771786,M,5tplvmde,336 Myrtle Street,MATH
Santino Altenwerth,sal4395@lionstate.edu,21,83616,1721865840,F,h4hxgcq7,8378 West Pulaski Ave.,MATH
Kiley Nienow PhD,kni2503@lionstate.edu,20,92624,7972195124,F,56evzicb,285 Dogwood Drive,MATH
Joe Kirlin DDS,jki2803@lionstate.edu,21,50654,5541738975,M,8axiqzsa,87 Vermont St.,CSE
Malvina DuBuque,mdu3807@lionstate.edu,18,81332,5749240295,F,7zez3zsk,88 Harrison Street,ECON
Mrs. Chasity Schamberger,mch6748@lionstate.edu,20,95231,3805502995,M,7vx7covg,7450 West Manchester Street,CMPSC
Lucius Lakin,lla3945@lionstate.edu,20,32359,3403273193,F,yt1zlei9,7130 Longfellow Dr.,PHYS
Mariane Reilly,mre5662@lionstate.edu,22,52569,1094533896,M,1c8zbevj,453 North Elm Dr.,IST
Tara Baumbach,tba6345@lionstate.edu,19,46310,8574550346,M,0m29rudy,963 Court Road,CSE
Wilfred Moen,wmo7407@lionstate.edu,20,72383,7726314772,M,vohtstyp,7529 Old Sunset Road,PHYS
Jodie Brekke Sr.,jbr7032@lionstate.edu,21,96103,5974899721,M,rhw24sr5,8985 Cambridge Ave.,CHEM
Kristopher O'Connell,ko'2102@lionstate.edu,21,30341,9367731514,F,88zlsj5j,7764 Union Avenue,CMPSC
Zackary Johnson,zjo1462@lionstate.edu,18,94107,1176394426,F,t2ujdmui,7297 Applegate St.,ECON
Max Bashirian,mba9287@lionstate.edu,18,32754,2427782086,F,obmm3eek,608 North Addison St.,ECON
Marietta Runolfsson,mru3829@lionstate.edu,21,33778,7324827357,F,xkuhje6t,708 York Dr.,CMPSC
Ms. Devante Frami,mde6603@lionstate.edu,21,93004,5354909300,F,kr7ql6nc,7195 North Canterbury Circle,CHEM
Kali Mills,kmi8049@lionstate.edu,19,51031,2633829126,M,re55bd6w,185 E. Trenton Street,MATH
Shaun Glover,sgl1030@lionstate.edu,22,61742,8505979086,F,lfd2z2k3,182 Spring Street,IST
Mariana Stokes,mst1558@lionstate.edu,19,32780,5643982379,M,t2xd9avn,266 Second Street,MATH
Tommie Mosciski,tmo8266@lionstate.edu,22,30473,8504605906,F,7i18zf4n,9408 Anderson Court,CMPSC
Jailyn Green,jgr3574@lionstate.edu,22,30410,1692759843,M,xms08kb4,7195 North Canterbury Circle,CHEM
Yessenia Crona,ycr1322@lionstate.edu,21,52737,8914259323,M,wagux3h8,120 Heritage Lane,CMPSC
Serena Stiedemann,sst9336@lionstate.edu,22,52555,6779907478,F,8z5pnlui,8378 West Pulaski Ave.,EE
Ressie Boyer,rbo1548@lionstate.edu,21,31701,3834077162,M,2xpz77r8,9659 Rosewood Drive,CMPEN
Zackery Reynolds,zre8115@lionstate.edu,20,51005,9699383013,F,cqu4oqqk,185 E. Trenton Street,CHEM
Robb Christiansen,rch5723@lionstate.edu,22,60551,9712596261,M,tqdgdwnl,798 North Euclid Drive,EE
Joaquin Turner,jtu5218@lionstate.edu,21,95388,1241467821,M,pjjaks2g,7313 Stillwater Lane,DS
Lucy Oberbrunner,lob8984@lionstate.edu,21,80229,7565263818,M,bn47qlis,4 Old Academy Drive,CHEM
Trudie Runte,tru4888@lionstate.edu,18,61570,7762439969,F,h6czyxwt,361 E. Sierra Street,EE
Lambert Russel,lru4870@lionstate.edu,22,80433,5751743838,F,a62i6pl3,453 North Elm Dr.,MATH
Xavier Greenfelder V,xgr6403@lionstate.edu,20,90240,4493498556,M,sxbpeq1n,6 Andover Dr.,CHEM
Mr. Elta Hammes,mel4420@lionstate.edu,18,62571,7679560247,F,lscmydj9,9498 Newport Ave.,IST
Lucas Reinger,lre4938@lionstate.edu,19,30728,4844068684,F,9itfmlss,251 West Sheffield Drive,PHYS
Shyanne Heller,she6009@lionstate.edu,22,50864,8038803503,F,468vx2eo,91 S. Gartner Street,CMPSC
Lorena Anderson,lan4217@lionstate.edu,21,60423,4928605971,M,pyu1l9vk,3 North Linden Ave.,PHYS
Marlene Schulist,msc4152@lionstate.edu,22,46590,8899555991,F,pw8rw005,4 Old Academy Drive,ECON
Tobin Balistreri,tba6085@lionstate.edu,22,33169,3043629905,F,hluyeul5,3 North Linden Ave.,STAT
Maudie Murphy,mmu4907@lionstate.edu,18,62049,2096615282,F,6be7cy6j,7130 Longfellow Dr.,ECON
Toy Hayes,tha7400@lionstate.edu,18,46310,6937306537,M,vcqhvrf4,9498 Newport Ave.,DS
Khalil Kovacek,kko5971@lionstate.edu,18,52208,5102956315,F,pzivzcis,7529 Old Sunset Road,CHEM
Noble Dooley,ndo9422@lionstate.edu,19,94957,4716964683,M,x66pet3n,9659 Rosewood Drive,CSE
Sammy Braun,sbr4537@lionstate.edu,21,33136,5007738388,M,21appxs5,91 S. Gartner Street,STAT
Rubie Runolfsson,rru5828@lionstate.edu,20,30545,8163587693,M,pg6loq0c,8687 N. Sleepy Hollow Court,MATH
Mr. Mable Prosacco,mma5417@lionstate.edu,18,61242,3368286915,M,ho1589h3,63 Lake Forest Road,DS
Mrs. Reba Heller,mre1388@lionstate.edu,18,81242,6723670620,F,7wkpb4f4,18 Lakeview Street,PHYS
Louisa Gislason,lgi1280@lionstate.edu,19,96761,9046950677,M,bnq1qmcv,7764 Union Avenue,CHEM
Jalen Orn,jor1361@lionstate.edu,19,95547,5054368549,M,1ycbd4va,7313 Stillwater Lane,CSE
Miss Ardith Jerde,mar8229@lionstate.edu,19,91343,4302913419,F,fba3ls3l,708 York Dr.,CMPSC
Marianna Cummings,mcu4958@lionstate.edu,21,47983,8184900568,M,65t6knui,120 Heritage Lane,PHYS
Ryan Schuster,rsc2927@lionstate.edu,18,32024,9364817680,M,fcksdooc,8131 Elizabeth Ave.,CSE
Mr. Yvette Gislason,myv4130@lionstate.edu,22,72432,8349292703,M,p5xjrgpy,8687 N. Sleepy Hollow Court,IST
Mohammed Von,mvo3769@lionstate.edu,22,30467,3895685166,F,hxmroy2c,3 North Linden Ave.,DS
Vivien Will,vwi2326@lionstate.edu,21,62087,2439011040,F,wi14inop,780 East Redwood Drive,CMPEN
Nadia Renner,nre9702@lionstate.edu,19,94512,6312171601,F,o0u7wza2,6 Andover Dr.,ECON
Mrs. Albertha Kautzer,mal1707@lionstate.edu,21,81410,4661727408,F,0we09v6f,780 East Redwood Drive,PHYS
Mossie Considine,mco8919@lionstate.edu,20,50238,6653031846,F,1kwxyx73,8985 Cambridge Ave.,IST
Lavina Goodwin,lgo6567@lionstate.edu,20,33062,9394699891,F,28g2dueo,232 W. Homewood Ave.,EE
Stefanie Haley,sha4650@lionstate.edu,19,91915,4905138789,F,5qe7bghc,120 Heritage Lane,DS
Markus Turcotte DDS,mtu7648@lionstate.edu,18,31771,2949385257,M,s0t63ppx,798 North Euclid Drive,CHEM
Loyce Torphy,lto6036@lionstate.edu,21,93449,9921585593,M,jajxpr7a,336 Myrtle Street,IST
Jeremie Watsica,jwa5124@lionstate.edu,22,93240,9282338129,M,5x3nzy2o,63 Lake Forest Road,IST
Kenyon Rohan,kro8698@lionstate.edu,19,30557,7232952623,M,w8igr7b2,863 Stillwater Road,STAT
Napoleon Fay,nfa5557@lionstate.edu,18,62666,8066765997,F,kh25zijo,453 North Elm Dr.,CSE
Melvin D'Amore,md'3250@lionstate.edu,22,94070,5322988722,M,ryu3o2mq,7195 North Canterbury Circle,DS
Miss Brain Altenwerth,mbr4721@lionstate.edu,22,47340,7271370727,M,n2dfub1z,3 North Linden Ave.,CSE
Marcel Kihn,mki9627@lionstate.edu,18,6262,5412155700,F,vdpmots3,78 South Brewery Ave.,STAT
Ms. Katlynn Mills,mka2323@lionstate.edu,22,92887,9567631546,M,fxkpjvr8,259 Cleveland Road,CSE
Olin Connelly,oco4309@lionstate.edu,20,93631,2538322913,F,x4wzwl35,863 Stillwater Road,DS
Kevin Mante,kma2934@lionstate.edu,20,86433,9415365641,M,brhbtpp6,336 Myrtle Street,PHYS
Jerrold Schiller,jsc1133@lionstate.edu,18,93930,8571860599,M,c3ixaudm,8378 West Pulaski Ave.,IST
Juanita Wilderman,jwi1131@lionstate.edu,20,50208,6259941337,F,95kymlws,9236 El Dorado St.,CHEM
Vernice Langworth,vla3135@lionstate.edu,18,47584,3476574518,F,jxdqxajo,9659 Rosewood Drive,CSE
Pink Haag,pha3837@lionstate.edu,19,81615,6699345334,M,704ilqhr,358 Marvon Ave.,STAT
Miss Daren Kessler,mda8856@lionstate.edu,19,61740,9237742228,M,mij0lo81,8131 Elizabeth Ave.,CSE
Junior Heathcote,jhe9677@lionstate.edu,19,72118,9651616063,M,2fi47lk3,285 Dogwood Drive,EE
Mohammed White,mwh8884@lionstate.edu,19,72520,9143590296,F,ylozvj4o,182 Spring Street,EE
Lionel Daniel,lda8145@lionstate.edu,20,81623,4677875952,F,fpqano7u,141 Gulf Rd.,DS
Mr. Catharine Johns,mca2641@lionstate.edu,20,96113,7242518981,F,vvni2kh3,18 Lakeview Street,CMPEN
Lucile Gislason,lgi8755@lionstate.edu,20,85085,6463716796,M,bc4le940,182 Spring Street,STAT
Ms. Malinda Greenfelder,mma7996@lionstate.edu,19,6384,9286531541,F,13kvwsjo,232 W. Homewood Ave.,ECON
Reyes Cormier,rco1350@lionstate.edu,21,50153,2032758990,M,gbqtku3c,7 Arch Court,IST
Miss Zechariah Kulas,mze1101@lionstate.edu,20,32925,7523299214,F,ro0wghzu,6 Andover Dr.,PHYS
Mrs. Leonard Bosco,mle8029@lionstate.edu,22,6370,7758421807,F,c03gkbjx,55 Hall St.,EE
Nina Hilll,nhi9400@lionstate.edu,21,92624,8609137362,M,lo21i5t7,8687 N. Sleepy Hollow Court,CHEM
Maritza Schaefer,msc7404@lionstate.edu,21,92024,8902480260,M,fjh8si60,119 Harvey Street,ECON
Marlin Pfannerstill,mpf1895@lionstate.edu,19,31007,1458877247,M,93lugexr,78 South Brewery Ave.,EE
Lulu Jakubowski,lja7548@lionstate.edu,19,94965,3227326136,M,f0kf14lp,9498 Newport Ave.,CMPSC
Skye Robel Jr.,sro1687@lionstate.edu,20,80005,7675010360,F,kb3tlio2,18 Lakeview Street,CHEM
Mr. Tiana Glover,mti1005@lionstate.edu,19,34470,6225337150,M,pqq8z7sr,88 Harrison Street,CSE
Leonor Davis,lda3697@lionstate.edu,21,62610,4735427411,F,n7qps904,639 Princeton Rd.,EE
Sterling Volkman Sr.,svo1567@lionstate.edu,20,50420,6724975421,F,72khyt24,655 East Branch Dr.,PHYS
Kylie Fay,kfa7315@lionstate.edu,19,94547,1973800908,M,5wy4bon0,285 Dogwood Drive,CMPSC
Robb Hegmann,rhe3959@lionstate.edu,18,46181,6284456171,F,meon7rzi,608 North Addison St.,PHYS
Victoria Toy II,vto8500@lionstate.edu,18,6026,3225122861,M,sls2audw,860 Wakehurst Dr.,STAT
Lysanne Ullrich,lul2667@lionstate.edu,19,90017,9702158794,M,ptc0b1y3,358 Marvon Ave.,EE
Loma Becker PhD,lbe3298@lionstate.edu,22,62530,3717226857,M,95zc0rwz,285 Dogwood Drive,STAT
Karson Bashirian MD,kba3267@lionstate.edu,22,60043,1487874874,M,zuqm5kpu,7529 Old Sunset Road,CSE
Rose Veum,rve7599@lionstate.edu,19,30215,7703407913,M,xwdu18y9,308 Mammoth Dr.,CSE
Miss Lora Will,mlo5294@lionstate.edu,22,33936,3852723836,F,oamszhnw,185 E. Trenton Street,CMPSC
Mrs. Joanny Legros,mjo3251@lionstate.edu,22,52216,2473811160,M,5ocovp3j,26 Johnson St.,CMPSC
Josefina Frami,jfr4395@lionstate.edu,19,72176,2074620632,F,f9se8wwm,8985 Cambridge Ave.,EE
Luisa Turcotte,ltu9306@lionstate.edu,19,83815,7575746070,F,fws0qxaz,7450 West Manchester Street,STAT
Jace Swift,jsw5249@lionstate.edu,19,47959,1739752641,M,kyknbv85,285 Dogwood Drive,MATH
Rae Feil,rfe9835@lionstate.edu,22,60474,1588062443,M,1dig79sf,285 Dogwood Drive,IST
Joanny Stracke,jst9690@lionstate.edu,20,30701,1914982922,F,nq4112q9,608 North Addison St.,EE
Kailyn Kassulke V,kka3493@lionstate.edu,20,50634,3975105666,M,sgdlqet1,9498 Newport Ave.,CMPSC
Ms. Raoul Lang,mra5395@lionstate.edu,22,80631,2466899707,F,k6uyidbm,88 Harrison Street,CMPSC
Vella Ernser,ver7410@lionstate.edu,19,6785,4547185091,F,mk737jwg,798 North Euclid Drive,CMPEN
Ms. Lori Luettgen,mlo6590@lionstate.edu,22,47940,7718304270,F,u9x7dz70,91 S. Gartner Street,CMPEN
Lucienne Dicki MD,ldi8835@lionstate.edu,21,72513,9521838916,F,609akvrd,963 Court Road,ECON
Jared Kunde,jku5047@lionstate.edu,18,46760,7798511396,M,94qak42y,88 Harrison Street,STAT
Isabel Nader,ina3083@lionstate.edu,21,52341,1962198158,M,41gfy1ej,6 Andover Dr.,IST
Patsy Beer,pbe5438@lionstate.edu,20,31623,2033001056,M,skf5ui3q,266 Second Street,PHYS
Rosendo Friesen,rfr7251@lionstate.edu,20,32024,8817991287,F,dok8nl9x,9236 El Dorado St.,CSE
Miss Nikki Kassulke,mni1754@lionstate.edu,22,30275,7837785888,M,1vfo45w7,8131 Elizabeth Ave.,PHYS
Savannah Maggio,sma6410@lionstate.edu,20,34491,3375574921,M,49xkwq6n,120 Heritage Lane,CMPEN
Lucinda Jakubowski,lja5065@lionstate.edu,21,33763,3246739125,M,f2hkrocp,185 E. Trenton Street,EE
Wilfred Runolfsson,wru6659@lionstate.edu,20,60653,3451666217,F,f2ey91az,639 Princeton Rd.,EE
Wilma Legros,wle7976@lionstate.edu,20,61377,7105441171,F,ij8sdkw9,63 Lake Forest Road,CSE
Julie Rice,jri3730@lionstate.edu,19,94041,7146304182,M,xmiiavzz,336 Myrtle Street,CMPEN
Nettie Schowalter,nsc1496@lionstate.edu,21,30034,2499327254,M,4wks1yn1,182 Spring Street,ECON
Mr. Shanny Haag,msh8653@lionstate.edu,18,31630,3913166113,M,66krk2ow,9420 Tallwood Street,ECON
Newton Ankunding,nan2109@lionstate.edu,18,72126,7429084909,F,8tayuxnr,495 Jockey Hollow Ave.,DS
Loyal Schamberger,lsc8583@lionstate.edu,21,46148,8916369391,F,hrj3gm5t,63 Lake Forest Road,EE
Simone Mayert,sma9638@lionstate.edu,18,95709,7455474726,M,06f3jir4,8687 N. Sleepy Hollow Court,STAT
Roger Roob,rro3378@lionstate.edu,18,19936,6625501156,F,euho4xy8,798 North Euclid Drive,PHYS
Logan Wolf,lwo9519@lionstate.edu,20,81024,5511094114,M,l2c6cn16,798 North Euclid Drive,IST
Isaiah Lakin,ila1616@lionstate.edu,19,52254,3822251786,F,01idi3cu,120 Heritage Lane,EE
Miss Giovani Fisher,mgi5972@lionstate.edu,21,66058,4326844400,M,kz3zir6z,259 Cleveland Road,CMPSC
Muriel Orn Jr.,mor3944@lionstate.edu,19,33001,1095023253,F,ginqor0y,91 S. Gartner Street,MATH
Pinkie Wilkinson,pwi6256@lionstate.edu,21,32708,4366217650,F,to134xcj,119 Harvey Street,STAT
Lenny Mante,lma5523@lionstate.edu,22,6883,6117235201,F,lmddz47s,7 Arch Court,ECON
Mr. Jaylin Kautzer,mja9477@lionstate.edu,21,30104,5394925840,M,zlergoka,91 S. Gartner Street,IST
Pearlie Connelly,pco3542@lionstate.edu,22,61919,1048213834,M,g6gquwns,358 Marvon Ave.,PHYS
Michaela Frami,mfr1531@lionstate.edu,18,83283,4491122827,F,byrmhkrc,8687 N. Sleepy Hollow Court,IST
Johnny Breitenberg I,jbr5742@lionstate.edu,18,47841,1433886781,F,79r2lk38,88 Harrison Street,CMPSC
Ms. Adah Bode,mad6762@lionstate.edu,18,83622,7417043584,M,v8a0upa6,7313 Stillwater Lane,CSE
Lysanne Frami,lfr5699@lionstate.edu,19,31567,7527897424,M,r5ewbudh,798 North Euclid Drive,PHYS
Jonathon Huel,jhu6059@lionstate.edu,22,30720,4525186794,M,8d3tdd6n,9659 Rosewood Drive,EE
Reva Bayer,rba4716@lionstate.edu,18,80453,8047713342,F,6j8qtf9g,655 East Branch Dr.,CSE
Ms. Raina Schmidt,mra1173@lionstate.edu,22,93455,5425348934,F,9tc1sf4b,655 East Branch Dr.,CSE
Marco Larson,mla7040@lionstate.edu,20,93207,8573071401,M,kv6p91kt,608 North Addison St.,PHYS
Mr. Kelton Kertzmann,mke5035@lionstate.edu,21,62035,6608652249,F,bisj7cvm,9659 Rosewood Drive,PHYS
Nicolas Cummerata,ncu7389@lionstate.edu,19,80457,4222302111,F,b09izvbz,6 Andover Dr.,STAT
Mrs. Joannie Dibbert,mjo9620@lionstate.edu,21,60503,4373709280,F,n4v8hqyq,7450 West Manchester Street,IST
Mallie Eichmann,mei1629@lionstate.edu,20,81248,6227287672,M,qmpyhkgz,4 Old Academy Drive,STAT
Mr. Keyshawn Cassin,mke4315@lionstate.edu,18,80720,9872124559,M,4zfuvuep,141 Gulf Rd.,PHYS
Miss Yolanda Pfannerstill,myo1601@lionstate.edu,22,52588,6057110393,M,ixfwzeh2,182 Spring Street,CMPEN
Jensen McDermott,jmc9625@lionstate.edu,18,61323,1711549778,M,fhsc0rqw,7195 North Canterbury Circle,EE
Ursula Fadel,ufa3951@lionstate.edu,22,83316,5641077462,F,yohr8drf,185 E. Trenton Street,MATH
Madeline Renner,mre4255@lionstate.edu,20,62065,5917708018,M,dud61mbj,860 Wakehurst Dr.,DS
Mac Bailey,mba6793@lionstate.edu,18,80721,3595611595,F,yqz5bgrm,232 W. Homewood Ave.,CHEM
Jakob Kuvalis,jku3642@lionstate.edu,18,62053,1466758804,F,dngxq5hi,266 Second Street,IST
Yadira Schinner,ysc5785@lionstate.edu,18,52052,7561633471,M,n5bplqw8,88 Harrison Street,CSE
Roxanne Fritsch,rfr5648@lionstate.edu,22,95699,5864409152,M,3phvh9ch,18 Lakeview Street,CMPSC
Nicolas O'Reilly,no'3158@lionstate.edu,19,95682,3248809033,M,yko7qfpk,7529 Old Sunset Road,CSE
Lisette Connelly,lco5380@lionstate.edu,19,80836,2153181854,F,zl5y07yb,63 Lake Forest Road,IST
Orrin Herman IV,ohe2838@lionstate.edu,22,32509,7041485823,M,xa4qupgs,9420 Tallwood Street,ECON
Jewel Cole,jco2499@lionstate.edu,22,50857,3949669069,F,smelkveu,7195 North Canterbury Circle,IST
Mariam Mills,mmi5755@lionstate.edu,19,81067,6348114133,F,qfnrr7q6,461 Heather Street,CMPEN
Jasen Hand,jha5858@lionstate.edu,19,96818,2181906012,M,e44gixtz,963 Court Road,DS
Irwin Kreiger,ikr7411@lionstate.edu,20,91950,3663619460,M,wd6c5b8t,7297 Applegate St.,DS
Thurman Kessler,tke8544@lionstate.edu,21,60515,8266342410,F,lcxh50pn,963 Court Road,DS
Tobin Schinner PhD,tsc4447@lionstate.edu,21,94305,8628781391,M,ilnv4fc7,7764 Union Avenue,EE
Karen Ritchie,kri1586@lionstate.edu,20,85615,4112030604,M,nejwj0g9,78 South Brewery Ave.,DS
Robert Krajcik,rkr9745@lionstate.edu,19,47558,8742787356,F,fbcoyeuk,708 York Dr.,PHYS
